       X        Y   Velocity Heading(deg)
   105.3    259.3       1.00       -137.5
   103.8    258.0       1.00       -137.4
   102.3    256.6       1.00       -137.2
   100.9    255.3       1.00       -137.1
    99.4    253.9       1.00       -136.9
    97.9    252.5       1.00       -136.8
    96.5    251.1       1.00       -136.6
    95.0    249.8       1.00       -136.4
    93.6    248.4       1.00       -136.3
    92.1    247.0       1.00       -136.1
    90.7    245.6       1.00       -135.9
    89.3    244.2       1.00       -135.7
    87.8    242.8       1.00       -135.5
    86.4    241.4       1.00       -135.2
    85.0    240.0       1.00       -135.0
    83.6    238.6       1.00       -134.7
    82.2    237.1       1.00       -134.4
    80.8    235.7       1.00       -134.1
    79.4    234.3       1.00       -133.8
    78.0    232.8       1.00       -133.5
    76.6    231.4       1.00       -133.1
    75.3    229.9       1.00       -132.7
    73.9    228.4       1.00       -132.3
    72.6    226.9       1.00       -131.8
    71.2    225.4       1.00       -131.2
    69.9    223.9       1.00       -130.6
    68.6    222.4       1.00       -129.9
    67.4    220.8       1.00       -129.0
    66.1    219.3       1.00       -128.1
    64.9    217.7       1.00       -126.9
    63.7    216.1       1.00       -125.4
    62.6    214.4       1.00       -123.6
    61.5    212.7       1.00       -121.1
    60.5    211.0       1.00       -116.9
    59.7    209.2       0.99       -107.3
    59.3    207.2       0.99        -95.4
    59.3    205.2       1.00        -87.0
    59.5    203.2       1.00        -81.4
    59.9    201.2       1.00        -77.5
    60.4    199.3       1.00        -74.5
    61.0    197.4       1.00        -72.2
    61.6    195.5       1.00        -70.4
    62.3    193.6       1.00        -68.9
    63.1    191.7       1.00        -67.6
    63.8    189.9       1.00        -66.5
    64.7    188.1       1.00        -65.6
    65.5    186.3       1.00        -64.8
    66.4    184.5       1.00        -64.0
    67.2    182.7       1.00        -63.4
    68.2    180.9       1.00        -62.8
    69.1    179.1       1.00        -62.3
    70.0    177.3       1.00        -61.8
    71.0    175.6       1.00        -61.4
    71.9    173.8       1.00        -61.0
    72.9    172.1       1.00        -60.6
    73.9    170.3       1.00        -60.2
    74.9    168.6       1.00        -59.9
    75.9    166.9       1.00        -59.6
    76.9    165.1       1.00        -59.3
    78.0    163.4       1.00        -59.1
    79.0    161.7       1.00        -58.8
    80.0    160.0       1.00        -58.6
    81.1    158.3       1.00        -58.4
    82.1    156.6       1.00        -58.2
    83.2    154.9       1.00        -58.0
    84.3    153.2       1.00        -57.8
    85.3    151.5       1.00        -57.6
    86.4    149.8       1.00        -57.5
    87.5    148.1       1.00        -57.3
    88.6    146.4       1.00        -57.2
    89.6    144.7       1.00        -57.0
    90.7    143.1       1.00        -56.9
    91.8    141.4       1.00        -56.8
    92.9    139.7       1.00        -56.7
    94.0    138.0       1.00        -56.5
    95.1    136.4       1.00        -56.4
    96.2    134.7       1.00        -56.3
    97.4    133.0       1.00        -56.2
    98.5    131.4       1.00        -56.2
    99.6    129.7       1.00        -56.1
   100.7    128.0       1.00        -56.0
   101.8    126.4       1.00        -55.9
   103.0    124.7       1.00        -55.8
   104.1    123.1       1.00        -55.8
   105.2    121.4       1.00        -55.7
   106.3    119.8       1.00        -55.6
   107.5    118.1       1.00        -55.6
   108.6    116.5       1.00        -55.5
   109.7    114.8       1.00        -55.5
   110.9    113.2       1.00        -55.4
   112.0    111.5       1.00        -55.4
   113.1    109.9       1.00        -55.4
   114.3    108.2       1.00        -55.3
   115.4    106.6       1.00        -55.3
   116.6    104.9       1.00        -55.3
   117.7    103.3       1.00        -55.3
   118.8    101.6       1.00        -55.3
   120.0    100.0       1.00        -55.3
   121.1     98.3       1.00        -55.3
   122.3     96.7       1.00        -55.3
   123.4     95.0       1.00        -55.3
   124.5     93.4       1.00        -55.4
   125.7     91.7       1.00        -55.4
   126.8     90.1       1.00        -55.5
   127.9     88.4       1.00        -55.6
   129.1     86.8       1.00        -55.7
   130.2     85.1       1.00        -55.8
   131.3     83.5       1.00        -55.9
   132.5     81.8       1.00        -56.1
   133.6     80.1       1.00        -56.3
   134.7     78.5       1.00        -56.6
   135.8     76.8       1.00        -56.9
   136.9     75.1       1.00        -57.4
   137.9     73.4       1.00        -58.0
   139.0     71.7       1.00        -58.9
   140.0     70.0       1.00        -59.5
